Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
New Hire During Pandemic,"Mar 7, 2021 ",5.0,Current, Management Consultant,,Recommend,Business Outlook,Share,"The hiring process has been like walking in a black box, but PwC is caring and I know that even if they are facing some unceratainty they have my back.","Uncertainty, groups are assigned based on business needs."
Career round table,"May 24, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,salary compensation is fair if you only have honour. they wont pay you for other qualifications.,fighting to be included in the projects
Not a good company for expats,"Jun 2, 2021 ",2.0,Current, Senior Auditor,,Recommend,Business Outlook,Share,Opportunities are commonly available to local.,There are talented people who doesn't get promotions.
Decent work,"Apr 7, 2021 ",4.0,Current, Salesforce Senior Consultant,,Recommend,Business Outlook,Share,Mostly Good work life balance,So easy to get stuck on a project
Underpaid,"Apr 7, 2021 ",4.0,Current, Assurance Manager,,Recommend,Business Outlook,Share,"good opportunities, networking, resume builder, good benefits",underpaid long hours luck of the draw with assignment
PwC,"Apr 7, 2021 ",5.0,Current, Lead DevOps Engineer,,Recommend,Business Outlook,Share,WL balance; tech leading; friendly environment,Tranditional company; no research and development
Unknown,"Apr 8, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Benefits, opportunity, learning, work-life balance",The right person is not always promoted.
Best of the big four from a firm leadership perspective,"Feb 24, 2021 ",5.0,Current, Advisory Senior Manager,,Recommend,Business Outlook,Share,"The hours/job is demanding but working with smart, adaptable people makes things better and I feel I am appreciated/compensated fairly in my group","If not proactive about maintaining WLB, it's easy to work too much and ignore other aspects of life."
Tas Senior,"Apr 9, 2021 ",4.0,Current, Experienced Senior Tax Associate,,Recommend,Business Outlook,Share,Consistent growth and pay increase,"Long hours, same work every year"
xxxx,"Jun 8, 2021 ",3.0,Current, Tax Manager,,Recommend,Business Outlook,Share,"knowledgeable professionals, salary, level of clients","extremely busy and long hours,"
Workplace Review,"Mar 19, 2021 ",4.0,Current, Cyber Security Senior Associate,,Recommend,Business Outlook,Share,"Nice work life balance, great care of employees, many opportunities for learning & development, leadership is so interactive and friendly with the employees.",No con's as far as I know
"Overall, good company","Jun 5, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"Learn a lot, and good brand name",Job can sometimes be overwhelming.
PwC rating,"Apr 2, 2021 ",5.0,Current, First Year Associate,,Recommend,Business Outlook,Share,PwC offers great benefits and it's great exposure,The hours are tough; very little work-life balance
Inclusive and supports work life balance,"Mar 14, 2021 ",5.0,Current, Human Resources,,Recommend,Business Outlook,Share,Most flexible place I’ve ever worked that supports working moms and personal time,"Firm has gotten very large, over 35k employees in the US."
Changing in the right direction but burning people out,"Feb 28, 2021 ",4.0,Current, Director,,Recommend,Business Outlook,Share,"Making the right investments (technology, Cloud, Alliances, upskilling staff) to shift focus and culture for the future.","With remote work they are burning people out - 14 hour days, vacations not encouraged, not placing value on people’s personal time."
Work,"Jun 29, 2021 ",1.0,Current, Associate,,Recommend,Business Outlook,Share,"Benefits, new phone, corporate card, travel",Extremely overworked and underpaid. People are so rude
Robotic,"Apr 5, 2021 ",4.0,Current, PwC Assurance Associate,,Recommend,Business Outlook,Share,"Benefits, working flexibility, Big4 name",Advancement has 0 to do with how good you are.
Great job,"Apr 6, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Great First place of work,Salaries could be better compared to other
PWC,"Jul 2, 2021 ",1.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Competitive pay increase and training.,They treat each employee just a number.
N/A,"Apr 7, 2021 ",5.0,Current, Valuation Associate,,Recommend,Business Outlook,Share,"Great learning opportunities, culture and career growth","Low pay, fast pace, understaffed"
Great people,"Apr 7, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,Great people to work with,Long hours during parts of the year
Good first job,"Mar 10, 2021 ",3.0,Former, Senior Assurance Associate,,Recommend,Business Outlook,Share,"1. Easy entry to associate level roles especially if you come from campus recruitment. 2. Great reality check on getting used to the number of hours people work in accounting/finance as you’ll be working 9-3am at least a few times a year (which is normal even on the client side). It’s just the nature of this actg field. 3. Culture is great. Everyone is on board with the millennial corporate culture. No one will ever embarrass you or others for being bad at your job. Overall, everyone is very nice and willing to help. Even if they truly don’t want to help, everyone is obligated to help because it’s just the culture at this firm. 4. Flexibility - the transfer process is super easy if you know the right people. I’ve been able to work in different service lines as a result. 5. Promotion is pretty much guaranteed and timeline based. You put in the number of years and you’ll get it. You wouldn’t be held back from a promotion unless people absolutely hate you or you’re so bad at the job that you literally can’t be promoted. From what I’ve seen, you can be average and still get promoted even at the manager level. It’s all a seniority game at the end of the day.","1. The firm constantly tries to adopt new changes which creates inefficiencies and zero value add. It all seems more for marketing purposes than for actual enhancements to the day to day job. 2. Too many firm initiatives that are just for show rather than practice. For example, “be well work well, stop the grind” slogan has been tossed around the firm for the last year or so but I haven’t seen anyone actually “stop the grind.” People are consistently working every minute of the day and will get pings during their vacation time. It’s just the nature of the job as this is a client service field. 3. I don’t think the work necessarily translates well into industry as this is a client service field where companies come here to buy specific services that they do not want to do or have enough human bodies to crank out. The longer you stay the harder it will be to exit this field unless you’re set you want to be here for 10+ years (which might not be bad)."
Best place,"Mar 28, 2021 ",5.0,Current, Senior Auditor,,Recommend,Business Outlook,Share,"Be well, work well for work life balance and overall physical and mental health",Same as any top major company
Just 1 of 1000,"Apr 13, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Diverse experiences and opportunities given the numerous clients.,Busy season sucks. Hard to stand out and even if you do it’s not worth your time because of the structure. The pay sucks and bonuses are insulting. The longer you stay the more likely it is you get stuck in accounting for the rest of your career.
The golden dream of Big 4 is a myth,"Apr 2, 2021 ",2.0,Former, Associate Auditor,,Recommend,Business Outlook,Share,They spend a lot of money on employees,"The whole ""care about the employees"" stuff is complete BS. I was laid off in the early stages of the pandemic while they were having meetings saying that they would never layoff anyone in the early stages of the pandemic. And PwC claims to be the big 4 that cares about their employees."
Good brand,"Apr 5, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,Decent people in some teams,A lot of the good people have left
You get out of it what you put into it,"Mar 24, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,You can learn a lot!,"Hard work, and you need to work hard to learn."
Great Place for a certain time of your life,"Mar 18, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Great benefits and good tone at the top.,The work involved is monotonous and get get very busy at times.
Best place to work,"Mar 19, 2021 ",5.0,Current, Specialist,,Recommend,Business Outlook,Share,"work life balance, diversity and inclustion",It is competitive and difficult to advance in IFS
Review,"Jun 7, 2021 ",2.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Hard to tell them exactly,Huge workload no space to learn
Best Place to Work At,"Mar 30, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,"Everything - People, Culture, Work etc.",No real cons based on experience so far
Good place to start your career,"Jan 26, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great place to gain experience right out of college Tons of opportunities for accounting experience Massive network of alumni and colleagues Global opportunities,Certain teams / lines of service work A LOT of hours Talk a big game when it comes to technology... but it's mostly talk Pay is below average
Great place to start a career in accounting,"Mar 15, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great people, skill development, learning curve, management skills, a great place to start a career","Too many hours, hard to maintain a healthy work-life balance"
What you’d expect,"Jun 3, 2021 ",3.0,Former, Asset Manager,,Recommend,Business Outlook,Share,Experience and exposure to different companies,The tasks are often not meaningful
Like Other Consulting Firms,"Mar 25, 2021 ",4.0,Current, Cybersecurity Manager,,Recommend,Business Outlook,Share,Flexible work schedule for how much work there is,"The work is non-stop, it gets to be a lot sometimes"
PwC,"Apr 6, 2021 ",5.0,Former, Assurance Associate,,Recommend,Business Outlook,Share,"Friendly, and very warming people",Sometimes long hours can be unfortunate
PwC,"Apr 6, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,The culture and environment is great,The hours can be long
Good place to work,"Mar 10, 2021 ",5.0,Current, Forensics Technology Consultant,,Recommend,Business Outlook,Share,Really good team and you get to learn a diverse technology stack,If you want to grow technically in a specific area then it's not for you
PwC Contractor,"Mar 4, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,PwC was very good to work with. Prior to PwC I was employed by Synchrony Financial for several years through 2018.,PwC was unable to keep me as a Contractor.
No regard for employees,"Jun 23, 2021 ",1.0,Former, Vice President,,Recommend,Business Outlook,Share,not many pros really these days,senior leadership is a one man show No job security Frequent lay offs Cronyism
Lots of learning,"Mar 25, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Nice people & a good team can make you want to stay longer,A bad team can be unhelpful
Phenomenal Place to Work and Grow,"Mar 2, 2021 ",5.0,Current, Consultant,,Recommend,Business Outlook,Share,"Challenging problems, incredibly smart and driven people, amazing support from leadership to focus on your own growth and development",Work life balance can be tough with longer than normal working hours and a lot of travel
Learned alot,"May 21, 2021 ",3.0,Former, PwC Senior Associate,,Recommend,Business Outlook,Share,Very professional Great place to make contacts,Bullies in New York office Racism on big teams. Salary can be more no work life balance
Work Culture,"Jun 24, 2021 ",1.0,Current, Senior Consultant,,Recommend,Business Outlook,Share,"Big Company, Job security, low-risk low gain","Beaurocracy, multiple levels of heirarchy, no work-life balance, extremely long hours"
Great opportunity to learn varied skills and build relationships,"Jan 28, 2021 ",4.0,Current, Director,,Recommend,Business Outlook,Share,"Potential to learn different things, building relationships internally and externally across various levels, diversity and inclusion is one of the focus areas across the company","Fast paced and competitive environment, is well suited for those who are able to self advocate and put in the extra time and effort, balancing internal, client and personal demands can be overwhelming during busy times"
Good place to start your career,"Mar 27, 2021 ",4.0,Former, Audit Manager,,Recommend,Business Outlook,Share,"Good exposure, career development program, value diversity",No work life balance depending on the office
Invaluable experience; salary feels low for amount of work,"Sep 28, 2020 ",4.0,Current, Financial Markets Associate,,Recommend,Business Outlook,Share,"Great culture, high quality clients, extremely good training/learning on the job","Long hours for the salary you earn; benefits significantly cut by covid (no bonus, no raise, no more expensing)"
Great place to work,"Mar 31, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,"Great Culture, People who care, Development opportunities",Periodic workload issues and expectations
Good place to start career,"Apr 1, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,Good place to start career,Long Hours. Will need to travel
PwC 2021 Outlook,"Apr 1, 2021 ",4.0,Current, Senior Risk Assurance Associate,,Recommend,Business Outlook,Share,Simple vertical/promotion structure Learn a lot quickly,Work-life balance Low salary for work performed
Strategy& Senior Associate,"Apr 2, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Fast paced, great exposure, good compensation",Deployment / staffing isn't ideal
Large Firm,"Apr 4, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Lots of training and information.,"Currently, can't think of any"
Great Place to work,"Mar 24, 2021 ",5.0,Current, Data Scientist,,Recommend,Business Outlook,Share,"Great colleagues, interesting projects, good oportunities",There are no cons that I can think of at this time
"No Flexibility, narrow learning opportunities","Oct 30, 2020 ",2.0,Current, Manager,,Recommend,Business Outlook,Share,Great way to learn work habits and develop strong communication skills. This is a good place to work straight out of undergrad as you can learn a lot quickly. Director level and below are good people with some exceptions (Partners not so much),"No flexibility beyond the industry AND functional group you are assigned to. You will do very similar projects in the same industry. Once you learn a skill, every partner will want to use you on exactly that type of project. You have to really fight to learn new skills beyond that core competency the firm chooses for you. Partners are entirely focused on selling projects and executing them with as few people as possible to make the project more profitable."
Big Four Firms all the same,"May 24, 2021 ",3.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,"Great place to start, build network, put name on resume","burnout, repetitive work, underpaid for hours put in"
Professional services firms: not for everyone,"Mar 16, 2021 ",3.0,Former, Director,,Recommend,Business Outlook,Share,"Salary, opportunities to try different things and learn, benefits","Toxic work culture, abusive management, long hours"
Understaff,"Apr 6, 2021 ",4.0,Current, IT Auditor,,Recommend,Business Outlook,Share,"Prestige, exposure, and career opportunities.","Understaffed projects, especially smaller engagements"
"Come for the people, stay because you're too tired to leave","Sep 8, 2020 ",2.0,Current, Experienced Associate (Assurance),,Recommend,Business Outlook,Share,"The sheer amount of work you are required to complete in an insanely short amount of time really makes you a very competent worker. Never before did I imagine I could work 16 hours straight for 30+ days (and that wasn't even busy season). Before COVID, the happy hours and company-sponsored parties and events were great. There's a set career path and clear milestones. I believe that senior management really does care about humanity on a macro scale. The people who work there are generally cool people.","People above you are stressed, and so they take it out on you. The compensation is not high enough for the amount of work you are required to do. There is a huge push towards automation, except that all the time-savings due to technology are not passed on to the audit team, rather they are used to squeeze even more value and effort out of the team. As long as the bottom line is the focus, the human capital is going to become more and more drained and exhausted. The working hours are insane. The toll on your mental health. The toll on your physical health. Some managers are stressed and angry, and they take it out on you, and it can be a very toxic work environment. I could go on but it would be getting repetitive."
Good experience,"Jun 2, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Never bored, always learning new skills","Long hours, lower pay, high turnover"
Yes,"May 31, 2021 ",3.0,Current, Senior Consultant,,Recommend,Business Outlook,Share,Awesome company to work for,Salary for each level is not according to market standards
Great firm to start your career,"Mar 20, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Smart ppl, great tech and amazing growth potential","Long hours, unrealistic expectations and experience varies based on your assigned client"
Okay company,"May 17, 2021 ",2.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Good flexibility, good camaraderie. Enjoyed the happy hours","Long work hours, low pay, especially when the expectation is a masters degree and a CPA"
Great place to work,"Mar 31, 2021 ",5.0,Current, Assurance Senior Manager,,Recommend,Business Outlook,Share,Great place to work for,Long hours and less work/life balance
Good work environment,"Apr 1, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Good atmosphere and good coworker,can not think of anything now
N/A,"Apr 2, 2021 ",4.0,Current, Associate Consultant,,Recommend,Business Outlook,Share,"Good company culture, great opportunity for growth.",Very political at the junior level
Decent Place to Start Career,"May 27, 2021 ",3.0,Former, Management Consulting Associate,,Recommend,Business Outlook,Share,"Friendly community, nice people, significant diversity","Poor pay, bad work life balance"
Great People and Great Environment!,"Mar 23, 2021 ",5.0,Former, Intern,,Recommend,Business Outlook,Share,The people here are pretty chill,The career development path is quite rigid like all big fours
N/A,"Apr 4, 2021 ",4.0,Current, Global Mobility Consultant,,Recommend,Business Outlook,Share,Excellent work environment and culture,Slow career progression opportunities for non-LoS
OK,"Jun 3, 2021 ",2.0,Current, Manager,,Recommend,Business Outlook,Share,support self development like trainings and conferences,Slow career growth no transparency
Company overview,"Mar 25, 2021 ",4.0,Current, IT Risk & Assurance Senior,,Recommend,Business Outlook,Share,A lot of opportunities to work with leading companies in different industries.,Long work hours. Salary can be increased.
Flexibility,"Mar 17, 2021 ",4.0,Current, Event Manager,,Recommend,Business Outlook,Share,Known for flexibility. Great for those working in client service sector.,Competitive spirit/environment. Internal firm services such as admin looked down at. Focus on client service folks.
PWC INTERN,"Mar 28, 2021 ",5.0,Current, Intern,,Recommend,Business Outlook,Share,Diversity is great and there is alot of inclusivity,work life balance can be tough
"Great Company, Not the Right Role","Nov 29, 2020 ",5.0,Former, Operational Risk Management Associate,,Recommend,Business Outlook,Share,"PwC is truly a great organization to be a part of. I had a bit of a unique role but it offered me flexibility to work from home or go to the office. There were also a lot of opportunities to promote self care in the NY Metro office (i.e. yoga room with fitness classes, coffee stations onsite, nursing rooms, prayer rooms, etc.). I also met some great people that I felt genuinely cared about my career even if that meant leaving the firm.",My only con is that my specific role was siloed and there was not much potential for career growth for me.
Interesting work,"Mar 20, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,"Opportunities, interesting work, challenging and good career outlook post-employment here","Lots of travel, demanding partners, no decision on projects or direction at times"
Great company to start your career,"Mar 21, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,Best all around training camp for young professionals,Work life balance can be very problematic in certain practices
great,"Mar 31, 2021 ",5.0,Current, Finance Manager,,Recommend,Business Outlook,Share,great place to work loved it,lot of hours but thats okay
Learning opportunities,"Mar 22, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Excellent learning opportunities and exposures to wide variety of lines of services.,Work life balance may suffer depending on peak season
Good experience,"Apr 2, 2021 ",4.0,Current, PwC Analyst,,Recommend,Business Outlook,Share,great work environment good perks and benefits,missing work life balance missing diversity
Pros and cons,"Mar 24, 2021 ",4.0,Former, Director,,Recommend,Business Outlook,Share,"Resume builder, foundational knowledge, great experience and clients","Work life balance, upward mobility at senior levels, politics, benefits"
Great Place to Work,"Mar 1, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"You will have an opportunity to work with very smart people and if you are intentional with your work and look out for opportunities, you will learn a lot.",Very few. Just be prepared to work hard.
"Great company, get ready to work!","Mar 8, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,Great salary and supportive benefits. All the people I've met so far have been kind and positive.,Long workdays Less space for creative thinking
"Great Skills Learned, Tough work environment if not prepared","Feb 23, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great skills to be learned, great networking, lots of perks, competitive pay","hard work, not transparent, competitive, low diversity"
Great place to start you career,"Mar 2, 2021 ",4.0,Former, Associate Consultant,,Recommend,Business Outlook,Share,"Amazing people, a great place to learn, and your hands in all new technologies. You can attain multiple certifications.","Average salary, a lot of travel, long hours and sometimes you work on the weekend"
Good for developing foundational business skills,"Apr 10, 2021 ",3.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Good opportunity to get a breadth of experience. Smart people. Great benefits.,"Most leaders don’t care about people development - or if they claim to, it’s with words only. Lots of ethical violations & issues building up over my 4 years there. Most of them ignored."
Good company,"Mar 29, 2021 ",5.0,Current, Senior IT Consultant,,Recommend,Business Outlook,Share,Good work life balance and friendly team.,"Low pay, leadership needs to improve"
Good place to advance career,"Mar 5, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,They put thought and aspirations into action,Messaging from top leadership doesn’t necessarily make it down the chain
PwC,"Mar 31, 2021 ",4.0,Current, Actuarial,,Recommend,Business Outlook,Share,Exposures to different kinds of work,A lot of workload from diff projects
Work Environment,"Mar 24, 2021 ",4.0,Former, Senior Auditor,,Recommend,Business Outlook,Share,"Nice place to work, grow quickly up the ladder",Who is your project manager? It means a lot.
From someone who is no longer in accounting/finance at all,"Jan 22, 2021 ",4.0,Former, Experienced Audit Associate,,Recommend,Business Outlook,Share,"You get to travel to different companies, states, and work with a variety of people. social events, continuing education, student loan payment assistance. Your co-workers usually have high work-ethic.","It's just the nature of the industry, but be prepared to work long hours during busy season, when clients prepare to file their financial statements."
As a partner you don't feel like you own a peace of the business,"May 5, 2021 ",3.0,Former, Principal,,Recommend,Business Outlook,Share,"work life balance, fair compenstation",Leadership actions don't always make it's way down the chain.
Very demanding,"May 24, 2021 ",3.0,Current, Manager,,Recommend,Business Outlook,Share,Good learning curve if you are in right team,No career for female if you want to have family
Great Company to Start to a Career,"Nov 12, 2020 ",5.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,"- There is a ton of opportunity to learn and build transferable skills for wherever you decide to work after - PwC is very digitally oriented, which makes for an attractive resume - International work opportunities - The people are really supportive of your career development, regardless of if your goal is to stay or leave - PwC has a strong set of core values and auditing is a very ethical business job",- Hours are much longer than advertised (busy season is a myth. In asset management you have busy seasons almost every month).
Director,"Mar 27, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Working here my teams and leadership are very flexible,Sometimes teams can feel very cliquey
Intern,"Mar 17, 2021 ",5.0,Former, Intern,,Recommend,Business Outlook,Share,Career Path is well defined mentoring model is sound,Work Life Balance can be a struggle lot of competition to gain executive attention
Good place to work,"Mar 18, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Work with different clients and get the most exposure,Too much traveling. I want to keep the Sunday to myself.
Experience,"Mar 28, 2021 ",4.0,Current, Associate Consultant,,Recommend,Business Outlook,Share,Alot of learning and experience with different technologies,Company does not provide work life balance
Good place to start,"Mar 29, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Solid place to start post undergrad,Long hours and hierarchical culture
PwC is a great place to work overall,"Jan 11, 2021 ",4.0,Current, Senior Managing Director,,Recommend,Business Outlook,Share,Focus on people is high (people's time is their primary product). Super strong business consulting and transformation capabilities.,"Constantly struggling to keep up with current tech trends. High focus on individual contributions (called ""impact"") and metrics leads to a me-first culture where influence and position trumps knowledge and experience."
Good exposure,"Apr 1, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,Good client base and exposure,Work/life balance is at stake.
Good place to start career,"Mar 15, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Learn a lot in a short amount of time. The exposure to different clients is awesome,Long hours during busy season.
Great values. Work your life away,"Mar 25, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,The company stands for great values.,There is zero work-life balance
Decent Job,"Mar 26, 2021 ",4.0,Current, Consultant,,Recommend,Business Outlook,Share,I enjoyed the work a lot,No cons - I received a better opportunity elsewhere
Great team!,"Mar 26, 2021 ",5.0,Current, Tax Experienced Associate,,Recommend,Business Outlook,Share,My team is awesome. Great professional development.,Hours can be log at times
Good company to grow,"Mar 27, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,Great clients to works with,Poor salary and work life balance
Standard Big 4,"Mar 27, 2021 ",4.0,Current, Audit Associate,,Recommend,Business Outlook,Share,"Brand recognition, benefits, people, office",Long hours at times outside of busy season
Great culture,"Mar 18, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Great work, team members are fun and helpful and managers were supportive. A talented workforce.",none that i can think of
Great flexibility,"Mar 28, 2021 ",5.0,Current, Consultant,,Recommend,Business Outlook,Share,Solid pay Generous vacation and holidays Flexible schedule,Benefits especially health insurance and
Great place for work/life balance,"Mar 19, 2021 ",5.0,Current, Management Consultant,,Recommend,Business Outlook,Share,Work/life balance is important and upward feedback is encouraged,There can be long hours and weekend work
Great Learning Experience but Tough,"May 19, 2021 ",3.0,Current, Experienced Tax Associate,,Recommend,Business Outlook,Share,PwC offers technical and technological training that is second to none.,Hours are tough and the firm is often understaffed.
"Smart, friendly colleagues, lots of opportunities, inclusive culture (for the most part)","Jun 18, 2020 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Collegial, helpful, friendly, smart people Big clients Standard, transparent pay structure Lots of opportunities if you want them and work hard enough Leader (Tim Ryan) who tries to create a culture of diversity and acceptance of everyone Possibility of interesting work (not always the case, but at least almost every project is challenging in some new way)","Like at any consulting firm, requires extra work (“reinvest”) for which you don’t get any billable hours White male boys’ club culture in certain areas/practices that still reigns supreme and makes women and minorities leave and feel unwelcome Minimal in-person training opportunities Lots of pressure to use digital tools for everything and anything, which is like finding a nail for a hammer even when it doesn’t make sense"
Good place to start,"Mar 13, 2021 ",4.0,Current, Assurance Experienced Associate,,Recommend,Business Outlook,Share,"Good place to start a career towards finance, love my teams in the SF office",Work can be boring for the first few months
Good place to work at,"Mar 25, 2021 ",4.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Diversity, opportunities and variety of projects",There is no work life balance
"Good experience, can be a grind","Feb 25, 2021 ",4.0,Former, Advisory Manager,,Recommend,Business Outlook,Share,"People are motivated, some very talented and caring co-workers","Expectations are high and projects can be challenging. It seems like promotions have slowed down, and the opportunities are harder and harder to get to advance."
Great place to start,"Mar 18, 2021 ",5.0,Current, Advisory Associate,,Recommend,Business Outlook,Share,great training and access to partners,heavy travel and it is difficult to fight for staffing opportunities
Good,"Mar 30, 2021 ",4.0,Current, Consultant,,Recommend,Business Outlook,Share,Pretty good can be stressful,Not so good when it’s stressful
Tax Senior Associate,"May 11, 2021 ",3.0,Current, Tax Senior Associate,,Recommend,Business Outlook,Share,"Good exposure, gives you the right tools to excel","High work hours - 70 hrs weekly average, 3 to 5 weeks a year with over 90+ hrs at minimum"
Big place but supportive culture,"Mar 23, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Huge network and resources for learning.,HUGE company. Need to disclose investments.
Great work environment,"Mar 23, 2021 ",5.0,Current, Accountant,,Recommend,Business Outlook,Share,Work-life balance is a priority of the company,Nothing that I can think of
Solid Company,"Apr 30, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"You learn a lot, some benefits are okay (paid for phone), and my team is great!","Long hours (standard for public accounting), lower pay than finance jobs/advisory, and COVID took away a lot of the benefits (meals comped, connectivity events etc.)."
Good Culture,"Mar 8, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great culture, diverse background, people respect your time and effort","Standard career progression. Highly specialized services, can only see a tiny part of the projects/deals you're working on."
Solid Global Company,"Feb 17, 2021 ",4.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Diverse, good work life balance, strong teams.",Weak leadership. Accounting/Consulting firm attempting to be a tech company. Up and out culture.
Good place to work,"Mar 25, 2021 ",4.0,Former, Experienced Audit Associate,,Recommend,Business Outlook,Share,"People, culture, learning opportunities, perks","No work life balance, high stress"
Overall good company to work for,"Mar 16, 2021 ",4.0,Current, Risk Analyst,,Recommend,Business Outlook,Share,People focus and flexible teams.,No work life balance and need 3 years of experience before promotion.
Good people to work with but hard to find the passion,"Mar 18, 2021 ",3.0,Current, IT Audit Associate,,Recommend,Business Outlook,Share,"For new grads, the name is recognizable on your resume and you will find yourself working with lots of other smart people coming fresh out of college, so you are among peers.","Audit is not a creative industry - if you know this is what you want to do, more power to you and PwC is the place to do it, but I've found it hard to derive satisfaction from the work"
"Good place to be overall, but rigid hierarchical structure","Jan 19, 2021 ",4.0,Former, Experienced Deals Associate,,Recommend,Business Outlook,Share,"- Access to endless resources and training - Paid professional dues, CPE, etc. - Opportunities to learn and grow very quick","- Schedule can be demanding - Professional growth rigidly structured and not based on proficiency but rather time in current role - Business development over everything else: client is always right, even if they’re not"
Career foundation,"Mar 28, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,Positive culture that fosters learning,Long hours and metrics focused
No work life balance,"May 20, 2021 ",3.0,Former, Tax Senior Associate,,Recommend,Business Outlook,Share,Good to build resume for work after PwC,Overworked for average pay. Don't hire in line with turnover.
Great Corporate Culture,"Mar 19, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,- Transparent Leadership - Employee Focused - Continuing to Innovate,- Demanding work environment - Work Pressure - Very metrics driven
Great job,"Mar 29, 2021 ",4.0,Current, Deals Associate,,Recommend,Business Outlook,Share,Love the firm so far,None yet (first year associate)
Too demanding for the pay,"May 15, 2021 ",2.0,Current, Audit Senior,,Recommend,Business Outlook,Share,Great learning opportunity that would set you to better jobs,"Demanding and underpay. Expectations similar to IB, with a quarter of the pay."
Long hours in Busy season.,"Mar 22, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,"Lot of young, and smart people",Very long hours for the pay
Good Place to start your career.,"Mar 23, 2021 ",4.0,Former, Audit Senior Associate,,Recommend,Business Outlook,Share,Great Benefit and reward system.,"Super long hours, stressful busy season."
Great learning opportunity however not a practice office,"Mar 7, 2021 ",4.0,Current, Tax Staff,,Recommend,Business Outlook,Share,"exposure to cutting edge software, health benefits and great colleagues","salary, don't expect to be able to go to a practice office however."
Great place to work,"Mar 7, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,- Teams a super helpful - Large emphasis on upskilling - A lot of projects/clients to work on,- Long hours - Difficult to switch between lines of service
Review,"May 24, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Wok is Flexible especially during non nisy season,Long hours during busy and non busy season
